Facility Name,Address,County,City,Zip,Phone,Fax,Facility ID,Operator,Certificate Number,Number of Beds,Assisted Living Program Beds,Assisted Living Residence (ALR) Beds,Enhanced ALR Beds,Special Needs ALR Beds,Type,Classification,Regional Office,Location
Elderwood Village at Greece,1404 Long Pond Road,Monroe,Rochester,14626,(585) 225-7210,(585) 225-6411,AF0576D,"1404 Long Pond Road Operating Company, LLC",370-F-248,72,0,0,0,0,AH,PPHA,WRO,"1404 Long Pond Road
Rochester, NY 14626
(43.20081274000006, -77.69905348899994)"
Grande'Vie Senior Living,2140 Five Mile Line Road,Monroe,Penfield,14526,(520) 797-4000,(520) 797-7757,AF0503C,"Rochester Operating Company, LLC",370-F-250,178,0,178,47,47,AH,PPHA,WRO,"2140 Five Mile Line Road
Penfield, NY 14526
(43.128195170000026, -77.47589602099998)"
The Hawthorne,1 Johnsarbor Dr. E,Monroe,Rochester,14620,(585) 760-1300,(585) 241-0365,AF0762A,St. John's Meadows,370-S-861,42,0,42,42,0,EHP,NFP,WRO,"1 Johnsarbor Dr. E
Rochester, NY 14620
(43.12460350600003, -77.59874750499995)"
Atria Greece,150 Towngate Road,Monroe,Rochester,14626,(585) 225-3010,(585) 225-3011,AF0551B,"ATR New York LH, Inc.",370-F-210,79,0,0,0,0,AH,PPHA,WRO,"150 Towngate Road
Rochester, NY 14626
(43.204844173000026, -77.69807302699996)"
Family Srvs/Rochester EHP2 Jonathan Child Project,399 Colvin Avenue,Monroe,Rochester,14611,(585) 436-9462,(585) 529-4863,AF0495A,Family Services Of Rochester,370-S-132,30,24,0,0,0,EHP/ALP,NFP,WRO,"399 Colvin Avenue
Rochester, NY 14611
(43.15864488500006, -77.64125911399998)"
Crimson Ridge Gardens,1 Treeline Drive,Monroe,Rochester,14612,(585) 720-9310,(585) 720-9311,AF0467B,"Peregrine Properties of Upstate, LLC",370-F-226,52,0,0,0,0,AH,PPHA,WRO,"1 Treeline Drive
Rochester, NY 14612
(43.25201928800004, -77.67436720599994)"
Rochester Presbyterian Home,256 Thurston Road,Monroe,Rochester,14619,(585) 235-9100,(585) 235-1315,AF0547A,"Rochester Presbyterian Home, Inc.",370-E-022,102,0,102,22,65,AH,NFP,WRO,"256 Thurston Road
Rochester, NY 14619
(43.13989800000007, -77.65095233799997)"
Westwood Commons Adult Home,50 Union Square Boulevard,Monroe,North Chili,14514,(585) 293-2060,(585) 293-2183,AF0577A,"DePaul Adult Care Communities, Inc.",370-E-196,120,0,0,0,0,AH,NFP,WRO,"50 Union Square Boulevard
North Chili, NY 14514
(43.11264509400007, -77.80939407199998)"
Woodcrest Commons,4455 West Henrietta Road,Monroe,Henrietta,14467,(585) 334-1800,(585) 321-9395,AF0481A,"DePaul Adult Care Communities, Inc.",370-E-198,120,33,0,0,0,AH/ALP,NFP,WRO,"4455 West Henrietta Road
Henrietta, NY 14467
(43.06306723700004, -77.64970236599999)"
RPH-West,48 Cottage Grove Circle,Monroe,North Chili,14514,(585) 235-9100,(585) 235-1315,AF0667A,"Rochester Presbyterian Home, Inc.",370-E-200,52,0,52,19,52,AH,NFP,WRO,"48 Cottage Grove Circle
North Chili, NY 14514
(43.11626000000007, -77.80450999999994)"
Fairport Baptist Homes Adult Care Facility,4646 Nine Mile Point Road,Monroe,Fairport,14450,(585) 377-0350,(585) 377-2620,AF0670A,"Fairport Baptist Homes Adult Care Facility, Inc.",370-E-202,42,11,0,0,0,AH/ALP,NFP,WRO,"4646 Nine Mile Point Road
Fairport, NY 14450
(43.10902405300004, -77.44176037099999)"
RPH East,20 Crossing Creek Drive,Monroe,Fairport,14450,(585) 223-0160,(585) 223-0140,AF0739A,"Rochester Presbyterian Home, Inc.",370-E-204,64,0,64,20,64,AH,NFP,WRO,"20 Crossing Creek Drive
Fairport, NY 14450
(43.09489000000008, -77.43909999999994)"
Hilton East Assisted Living,231 East Avenue,Monroe,Hilton,14468,(585) 392-7171,(585) 392-3631,AF0515A,Hilton East Assisted Living LLC,370-F-208,205,119,0,0,0,AH/ALP,PPHA,WRO,"231 East Avenue
Hilton, NY 14468
(43.28994942300005, -77.78618202699994)"
Elderwood Village at Fairport,7 Chardonnay Drive,Monroe,Fairport,14450,(518) 425-0210,(585) 425-0213,AF0541D,"7 Chardonnay Drive Operating Company, LLC",370-F-246,80,0,0,0,0,AH,PPHA,WRO,"7 Chardonnay Drive
Fairport, NY 14450
(43.06795575600006, -77.43631926699999)"
Atria Penfield,2006 Five Mile Line Road,Monroe,Penfield,14526,(585) 381-0282,(585) 381-0788,AF0552C,"ATR New York LH, Inc.",370-F-212,120,0,0,0,0,AH,PPHA,WRO,"2006 Five Mile Line Road
Penfield, NY 14526
(43.138170943000034, -77.47562083599996)"
Brookdale Pittsford,159 Sully's Trail,Monroe,Pittsford,14534,(585) 249-9990,(585) 249-9940,AF0468A,"Perinton Clare Bridge Operator, Inc.",370-F-217,52,0,0,0,0,AH,PPHA,WRO,"159 Sully's Trail
Pittsford, NY 14534
(43.05874431400008, -77.46686662999997)"
Brookdale Liverpool,4055 Long Branch Road,Onondaga,Liverpool,13090,(315) 451-3221,(315) 457-0305,AF0189C,"Painted Post, LLC",520-F-165,80,0,0,0,0,AH,PPHA,CNYRO,"4055 Long Branch Road
Liverpool, NY 13090
(43.12522299900007, -76.23291697499997)"
Heather Heights of Pittsford,160 West Jefferson Road,Monroe,Pittsford,14534,(585) 264-1600,(585) 264-1010,AF0508A,"Heather Heights of Pittsford, Inc.",370-F-220,120,0,120,120,24,AH,PPHA,WRO,"160 West Jefferson Road
Pittsford, NY 14534
(43.087173439000026, -77.53198346399995)"
Crimson Ridge Meadows,3 Treeline Drive,Monroe,Rochester,14612,(585) 720-9330,(585) 720-9331,AF0604B,"Peregrine Properties of Upstate, LLC",370-F-227,52,0,0,0,0,AH,PPHA,WRO,"3 Treeline Drive
Rochester, NY 14612
(43.25108921100008, -77.67452619199997)"
Rainier Grove at Cherry Ridge,900 Cherry Ridge Road,Monroe,Webster,14580,(585) 697-6700,(585) 671-8255,AF0635A,"The Glen at Cherry Ridge, LLC",370-F-229,87,0,87,15,26,AH,PPHA,WRO,"900 Cherry Ridge Road
Webster, NY 14580
(43.20841371300003, -77.46987355499994)"
Grande'ville Senior Living Community,555 Maiden Lane,Monroe,Rochester,14616,(585) 621-6160,(585) 621-8002,AF0504B,"Grande'ville Senior Living Community, LLC",370-F-230,115,0,115,30,35,AH,PPHA,WRO,"555 Maiden Lane
Rochester, NY 14616
(43.223729527000046, -77.65700841599994)"
Sage Harbor at Baywinde,100 Kidd Castle Way,Monroe,Webster,14580,(585) 670-7000,(585) 787-2249,AF0549B,"SL Sage Harbor, LLC",370-F-236,88,0,88,0,24,AH,PPHA,WRO,"100 Kidd Castle Way
Webster, NY 14580
(43.19297849800006, -77.50892016299997)"
Shire Senior Living Assisted Living Program,2515 Culver Road,Monroe,Rochester,14609,(585) 467-4544,(585) 338-2877,AF0554B,Shire Senior Living LLC,370-F-240,200,48,0,0,0,AH/ALP,PPHA,WRO,"2515 Culver Road
Rochester, NY 14609
(43.19289333200004, -77.56130797799995)"
Cobbs Hill Manor,1175 Monroe Avenue,Monroe,Rochester,14620,(585) 851-8696,(585) 730-5397,AF0742A,"Cobbs Hill Manor, Inc.",370-F-242,118,75,0,0,0,AH/ALP,PPHA,WRO,"1175 Monroe Avenue
Rochester, NY 14620
(43.13802676100005, -77.57878634899998)"
Legacy at Cranberry Landing,300 Cranberry Landing Drive,Monroe,Rochester,14609,(585) 244-3630,(520) 797-7757,AF0724B,"Rochester Operating Company, LLC",370-F-252,78,0,78,26,19,AH,PPHA,WRO,"300 Cranberry Landing Drive
Rochester, NY 14609
(43.18927328900003, -77.54924088999996)"
Arkell Hall,55 Montgomery Street,Montgomery,Canajoharie,13317,(518) 673-5514,(518) 673-5612,AF0014A,Arkell Hall Foundation,380-E-002,24,0,0,0,0,AH,NFP,CDRO,"55 Montgomery Street
Canajoharie, NY 13317
(42.904294761000074, -74.56915347499995)"
Hillcrest Spring Residential,"5052 Rte30 Upper Market St, POB 383",Montgomery,Amsterdam,12010,(518) 843-3770,(518) 843-3878,AF0060A,"Wolfe, Paul F.",380-F-043,80,40,0,0,0,AH/ALP,PPHA,CDRO,"5052 Rte30 Upper Market St, POB 383
Amsterdam, NY 12010
(42.95709346800004, -74.18559722599997)"
Sarah Jane Sanford Home,69 Guy Park Avenue,Montgomery,Amsterdam,12010,(518) 842-3670,(518) 842-6340,AF0111A,The Home for Elderly Women of Montgomery County,380-E-011,40,0,0,0,0,AH,NFP,CDRO,"69 Guy Park Avenue
Amsterdam, NY 12010
(42.94140687500004, -74.19468240899994)"
"The Sentinel at Amsterdam, LLC",10 Market Street,Montgomery,Amsterdam,12010,(518) 896-0010,(518) 896-0015,AF0754A,"Deer Run at River Ridge, LLC",380-F-047,150,120,30,30,0,AH/ALP,PPHA,CDRO,"10 Market Street
Amsterdam, NY 12010
(42.937919160000035, -74.19306192999994)"
The Bristal at Massapequa,400 County Line Road,Nassau,Massapequa,11758,(516) 691-0706,(516) 691-7204,AF0647B,"EB CARE at Massapequa, LLC",400-F-315,84,0,0,0,0,AH,PPHA,MARO,"400 County Line Road
Massapequa, NY 11758
(40.686670710000044, -73.42596835899997)"
Atria Park of Great Neck,51 Great Neck Road,Nassau,Great Neck,11021,(516) 829-4100,(516) 829-4989,AF0391B,"ATR New York LH, Inc.",400-S-326,162,0,162,81,49,EHP,PPHA,MARO,"51 Great Neck Road
Great Neck, NY 11021
(40.78579541700003, -73.72821822399999)"
Rosewood on the Sound,59 Bayville Avenue,Nassau,Bayville,11709,(516) 628-1350,(516) 628-2839,AF0284B,"Rosewood on the Sound, LLC",400-F-333,50,0,50,22,0,AH,PPHA,MARO,"59 Bayville Avenue
Bayville, NY 11709
(40.910490217000074, -73.57376688399995)"
Atria Plainview,12 Washington Avenue,Nassau,Plainview,11803,(516) 933-0002,(516) 933-0003,AF0223C,"ATR New York LH, Inc.",400-F-329,99,0,0,0,0,AH,PPHA,MARO,"12 Washington Avenue
Plainview, NY 11803
(40.77915403900005, -73.46617758199994)"
Sunrise of North Lynbrook,53 Franklin Avenue,Nassau,Lynbrook,11563,(516) 596-2377,(516) 596-2378,AF0866A,"SZR New York LH, Inc.",400-F-328,138,0,138,138,29,AH,PPHA,MARO,"53 Franklin Avenue
Lynbrook, NY 11563
(40.669677972000045, -73.67292412399996)"
Sunrise of Glen Cove,39 Forest Avenue,Nassau,Glen Cove,11542,(516) 656-0575,(516) 656-0574,AF0834A,"GWC-Glen Cove, Inc.",400-F-327,111,0,111,111,41,AH,PPHA,MARO,"39 Forest Avenue
Glen Cove, NY 11542
(40.871144007000055, -73.62674167799997)"
Atria Lynbrook,100 Peninsula Boulevard,Nassau,Lynbrook,11563,(516) 596-2700,(516) 596-1408,AF0395B,"ATR New York LH, Inc.",400-F-326,200,0,0,0,0,AH,PPHA,MARO,"100 Peninsula Boulevard
Lynbrook, NY 11563
(40.65501378300007, -73.67856363299995)"
Amber Court of Westbury,3400 Brush Hollow Road,Nassau,Westbury,11590,(516) 334-3838,(516) 334-3866,AF0366C,"Amber Court of Westbury, LLC",400-F-325,225,180,0,0,0,AH/ALP,PPHA,MARO,"3400 Brush Hollow Road
Westbury, NY 11590
(40.775247798000066, -73.56056601499995)"
Sunrise of Plainview,1231 Old Country Road,Nassau,Plainview,11803,(516) 932-5151,(516) 932-1759,AF0836B,"GWC - Plainview, Inc.",400-F-323,65,0,65,65,17,AH,PPHA,MARO,"1231 Old Country Road
Plainview, NY 11803
(40.77645710000007, -73.46069392999993)"
Amber Court of Westbury,3400 Brush Hollow Road,Nassau,Westbury,11590,(516) 334-3838,(516) 780-7162,AF0723A,"Amber Court of Westbury II, LLC",400-F-331,64,0,64,32,32,AH,PPHA,MARO,"3400 Brush Hollow Road
Westbury, NY 11590
(40.775247798000066, -73.56056601499995)"
The Glen at Maple Pointe,260 Maple Avenue,Nassau,Rockville Center,11570,(516) 764-4848,(516) 764-4442,AF0607C,"Maple Pointe Senior Care, LLC",400-F-320,60,4,0,0,0,AH/ALP,PPHA,MARO,"260 Maple Avenue
Rockville Center, NY 11570
(40.65824557600007, -73.63183500999997)"
Helen Keller National Center,111 Middle Neck Road,Nassau,Sands Point,11050,(516) 944-8900,(516) 944-7302,AF0264A,Helen Keller Services for the Blind,400-E-040,52,0,0,0,0,AH,NFP,MARO,"111 Middle Neck Road
Sands Point, NY 11050
(40.85467497800005, -73.69618401899999)"
Oyster Bay Manor,150 South Street,Nassau,Oyster Bay,11771,(516) 624-0600,(516) 624-7764,AF0650A,"Oyster Bay Manor, Inc.",400-F-313,72,0,72,0,0,AH,PPHA,MARO,"150 South Street
Oyster Bay, NY 11771
(40.870866625000076, -73.53117358599997)"
The Bristal at North Hills,99 South Service Road,Nassau,North Hills,11040,(516) 233-3100,(516) 233-3300,AF0643A,"Engel Burman Senior Housing at North Hills, Inc.",400-F-310,60,0,0,0,0,AH,PPHA,MARO,"99 South Service Road
North Hills, NY 11040
(40.77033193900007, -73.68798458799995)"
The Arbors at Westbury,45 Jericho Turnpike,Nassau,Jericho,11753,(516) 333-6400,(516) 876-0473,AF0434C,"Arcadia Management, Inc.",400-F-307,200,0,200,0,0,AH,PPHA,MARO,"45 Jericho Turnpike
Jericho, NY 11753
(40.778052143000025, -73.56402814899997)"
Atria Tanglewood,125 Ocean Avenue,Nassau,Lynbrook,11563,(516) 596-3400,(516) 536-0599,AF0639C,"ATR New York LH, Inc.",400-F-306,160,0,0,0,0,AH,PPHA,MARO,"125 Ocean Avenue
Lynbrook, NY 11563
(40.66327791500004, -73.65911948299998)"
Harbor House,150 South Street,Nassau,Oyster Bay,11771,(516) 624-8400,(516) 624-2949,AF0808A,"Oyster Bay Senior Residence, Inc.",400-F-305,136,0,136,0,124,AH,PPHA,MARO,"150 South Street
Oyster Bay, NY 11771
(40.870866625000076, -73.53117358599997)"
Long Beach Assisted Living,274 West Broadway,Nassau,Long Beach,11561,(516) 897-0140,(516) 897-0385,AF0267C,"Hempstead ALP, LLC",400-F-301,200,200,0,0,0,AH/ALP,PPHA,MARO,"274 West Broadway
Long Beach, NY 11561
(40.584536488000026, -73.67221799999999)"
Island Assisted Living,800-820 Front Street,Nassau,Hempstead,11550,(516) 564-1100,(516) 564-5353,AF0715A,Newco ALP Inc.,400-E-295,200,200,0,0,0,AH/ALP,NFP,MARO,"800-820 Front Street
Hempstead, NY 11550
(40.70935353100003, -73.60180199999996)"
The Regency at Glen Cove,94 School Street,Nassau,Glen Cove,11542,(516) 674-3007,(516) 674-4144,AF0422A,"National Healthplex, Inc.",400-E-290,105,0,105,25,0,AH,NFP,MARO,"94 School Street
Glen Cove, NY 11542
(40.86719341000003, -73.63073615399998)"
Christian Fellowship House,369 Split Rock Road,Nassau,Syosset,11791,(516) 922-6040,(516) 922-6130,AF0224A,Christian Fellowship,400-E-264,45,0,0,0,0,AH,NFP,MARO,"369 Split Rock Road
Syosset, NY 11791
(40.83813290400008, -73.51422909099995)"
Sunrise of East Meadow,1555 Glenn Curtiss Blvd.,Nassau,East Meadow,11554,(516) 542-0990,(516) 542-0999,AF0850B,"GWC - East Meadow, Inc.",400-F-322,107,0,107,107,26,AH,PPHA,MARO,"1555 Glenn Curtiss Blvd.
East Meadow, NY 11554
(40.71692304600003, -73.57545867299996)"
Atria Cutter Mill,96 Cutter Mill Road,Nassau,Great Neck,11021,(516) 858-3023,(516) 773-8735,AF0747A,"ATR New York LH, Inc.",400-S-328,130,0,0,0,0,EHP,PPHA,MARO,"96 Cutter Mill Road
Great Neck, NY 11021
(40.784257583000056, -73.73233483199994)"
The Bristal at East Meadow,40 Merrick Ave.,Nassau,East Meadow,11554,(516) 542-0800,(516) 465-0165,AF0416A,"Engel Burman Senior Housing at East Meadow, Inc.",400-S-299,151,0,151,37,22,EHP,PPHA,MARO,"40 Merrick Ave.
East Meadow, NY 11554
(40.721560460000035, -73.57639227199996)"
The Bristal at Westbury,117 Post Ave.,Nassau,Westbury,11590,(516) 333-9828,(516) 918-4002,AF0418A,Westbury Senior Living Inc.,400-S-300,180,0,0,0,0,EHP,PPHA,MARO,"117 Post Ave.
Westbury, NY 11590
(40.75244628100006, -73.58780506599999)"
The Bristal at North Woodmere,477 Hungry Harbor Road,Nassau,North Woodmere,11581,(516) 336-2600,(516) 792-5402,AF0621A,Hungry Harbor Care LLC,400-S-304,155,0,0,0,0,EHP,PPHA,MARO,"477 Hungry Harbor Road
North Woodmere, NY 11581
(40.64439654900008, -73.72348786199996)"
The Bristal at North Hills,99 South Service Road,Nassau,North Hills,11040,(516) 233-3100,(516) 233-3300,AF0644A,"Engel Burman Senior Housing at North Hills, Inc.",400-S-309,140,0,0,0,0,EHP,PPHA,MARO,"99 South Service Road
North Hills, NY 11040
(40.77033193900007, -73.68798458799995)"
St. Mary's Manor,60 Doughty Boulevard,Nassau,Inwood,11096,(516) 250-3234,,AF0651A,"St. Mary's Manor for Senior Citizen Housing Development Fund Company, Inc.",400-S-312,28,0,0,0,0,EHP,NFP,MARO,"60 Doughty Boulevard
Inwood, NY 11096
(40.613531144000035, -73.74581043099994)"
The Bristal at Massapequa,400 County Line Road,Nassau,Massapequa,11758,(516) 691-0706,(516) 691-7204,AF0648B,"EB CARE at Massapequa, LLC",400-S-314,86,0,0,0,0,EHP,PPHA,MARO,"400 County Line Road
Massapequa, NY 11758
(40.686670710000044, -73.42596835899997)"
The Glen at Maple Pointe,260 Maple Avenue,Nassau,Rockville Center,11570,(516) 764-4848,(516) 764-4442,AF0592C,"Maple Pointe Senior Care, LLC",400-S-316,83,36,0,0,0,EHP/ALP,PPHA,MARO,"260 Maple Avenue
Rockville Center, NY 11570
(40.65824557600007, -73.63183500999997)"
Somerset Gardens,150 Sunnyside Boulevard,Nassau,Plainview,11803,(516) 576-3330,(516) 576-1112,AF0217D,"Somerset Gardens Senior Care, LLC",400-S-318,160,0,0,0,0,EHP,PPHA,MARO,"150 Sunnyside Boulevard
Plainview, NY 11803
(40.794454923000046, -73.46974053799994)"
The Amsterdam at Harborside,300 East Overlook,Nassau,Port Washington,11050,(516) 472-6626,(516) 472-6698,AF0681A,"Amsterdam House CCRC, Inc.",400-S-320,55,0,55,0,18,EHP,NFP,MARO,"300 East Overlook
Port Washington, NY 11050
(40.827113893000046, -73.66497935499996)"
The Bristal at Garden City,1001 Axinn Avenue,Nassau,Garden City,11530,(516) 570-7010,(516) 833-5514,AF0766A,"EB Care at Garden City, LLC",400-S-330,170,0,170,55,44,EHP,PPHA,MARO,"1001 Axinn Avenue
Garden City, NY 11530
(40.73978510000006, -73.60837690899996)"
Atria Glen Cove,146 Glen Street,Nassau,Glen Cove,11542,(516) 671-7008,(516) 671-7810,AF0689B,"ATR New York LH, Inc.",400-S-324,128,0,0,0,0,EHP,PPHA,MARO,"146 Glen Street
Glen Cove, NY 11542
(40.86306190000005, -73.62458690799997)"
Plattduetsche Home Society,1150 Hempstead Turnpike,Nassau,Franklin Square,11010,(516) 352-4252,(516) 352-8656,AF0362A,"Plattduetsche Altenheim Gesellschaft Von Brooklyn Und Umgegend, Inc.",400-E-028,91,0,0,0,0,AH,NFP,MARO,"1150 Hempstead Turnpike
Franklin Square, NY 11010
(40.708330438000075, -73.68348904399994)"
The Bristal at Lynbrook,8 Freer Street,Nassau,Lynbrook,11563,(516) 593-2424,(516) 599-5594,AF0387D,"Lynbrook Senior Care, LLC",400-F-335,200,40,200,44,33,AH/ALP,PPHA,MARO,"8 Freer Street
Lynbrook, NY 11563
(40.65594854200003, -73.68390042199997)"
The Bristal at Jericho,310 Jericho Turnpike,Nassau,Jericho,11753,(516) 219-8688,(516) 802-7160,AF0867A,"Engel Burman Senior Care at Jericho, LLC",400-S-332,200,0,200,60,45,EHP,PPHA,MARO,"310 Jericho Turnpike
Jericho, NY 11753
(40.79104221100005, -73.54152448599996)"
Plattduetsche Home Society,1150 Hempstead Turnpike,Nassau,Franklin Square,11010,(516) 352-4252,(516) 352-8656,AF0361A,"Plattduetsche Altenheim Gesellschaft Von Brooklyn Und Umgegend, Inc.",400-S-290,90,0,0,0,0,EHP,NFP,MARO,"1150 Hempstead Turnpike
Franklin Square, NY 11010
(40.708330438000075, -73.68348904399994)"
The Bristal at Lake Success,69 North Service Road,Nassau,Lake Success,11020,(516) 600-1800,(516) 600-1900,AF0750A,EB Care at Lake Success LLC,400-F-337,110,0,110,50,110,AH,PPHA,MARO,"69 North Service Road
Lake Success, NY 11020
(40.76992434600004, -73.70676365399999)"
305 West End Assisted Living,305 West End Avenue,New York,New York,10023,(212) 874-5000,(646) 918-6936,AF0763A,305 West End Avenue Operating LLC,420-S-393,84,0,84,40,40,EHP,PPHA,MARO,"305 West End Avenue
New York, NY 10023
(40.78147812200007, -73.98328419199999)"
Lott Assisted Living Residence,1261 Fifth Avenue,New York,New York,10029,(212) 534-6464,(212) 534-1184,AF0234B,Lott Assisted Living Operating Corp.,420-S-391,131,131,0,0,0,EHP/ALP,NFP,MARO,"1261 Fifth Avenue
New York, NY 10029
(40.79537793600008, -73.95027389199998)"
Atria West 86,333 West 86th Street,New York,New York,10024,(212) 712-0200,(212) 712-0690,AF0675B,"ATR New York LH, Inc.",420-S-389,189,0,0,0,0,EHP,PPHA,MARO,"333 West 86th Street
New York, NY 10024
(40.78953315200005, -73.97933083699996)"
Carnegie East House,1844 Second Avenue,New York,New York,10128,(212) 360-2275,(212) 410-5180,AF0598B,"Carnegie East House Housing Development Fund Company, Inc.",420-S-387,112,0,0,0,0,EHP,NFP,MARO,"1844 Second Avenue
New York, NY 10128
(40.78377297600008, -73.94739331099998)"
Alma Rangel Gardens NY Foundation EHP#7,55 West 137th Street,New York,New York,10037,(917) 507-1108,(917) 507-1560,AF0594A,"New York Foundation for Senior Citizens, Inc.",420-S-381,42,0,0,0,0,EHP,NFP,MARO,"55 West 137th Street
New York, NY 10037
(40.81489015500006, -73.93863086599998)"
NY Found-Sr Citizens EHP#4 Ridge Street Gardens,80-92 Ridge Street,New York,New York,10002,(212) 598-4148,(212) 598-4092,AF0341A,"New York Foundation for Senior Citizens, Inc.",420-S-375,47,0,0,0,0,EHP,NFP,MARO,"80-92 Ridge Street
New York, NY 10002
(40.71800756600004, -73.98364894099996)"
West Seventy-Fourth Street Home,300 Amsterdam Avenue,New York,New York,10023,(212) 595-8983,(212) 595-0369,AF0433A,West Side Federation For Senior and Support Housing,420-E-254,95,0,0,0,0,AH,NFP,MARO,"300 Amsterdam Avenue
New York, NY 10023
(40.78008295400008, -73.98059433399999)"
NY Found-Sr Citizens EHP#3,1850 Second Avenue,New York,New York,10128,(212) 369-5523,(212) 348-7451,AF0340A,"New York Foundation for Senior Citizens, Inc.",420-S-370,32,0,0,0,0,EHP,NFP,MARO,"1850 Second Avenue
New York, NY 10128
(40.78399496900005, -73.94724223899993)"
NY Found-Sr Citizens EHP#2 Brown Gardens,225 East 93rd Street,New York,New York,10128,(212) 369-5523,(212) 410-4462,AF0339A,"New York Foundation for Senior Citizens, Inc.",420-S-272,47,0,0,0,0,EHP,NFP,MARO,"225 East 93rd Street
New York, NY 10128
(40.78279721400003, -73.94958067599998)"
The 80th Street Residence,430 East 80th Street,New York,New York,10075,(212) 717-8888,(212) 585-3544,AF0242B,"Upper East Side Senior Residence, LLC",420-F-379,70,0,70,70,70,AH,PPHA,MARO,"430 East 80th Street
New York, NY 10075
(40.77231378600004, -73.95058299099998)"
West Side Federation For Sr. and Supportive Housing,109 West 129th Street,New York,New York,10027,(212) 348-8513,(212) 860-4568,AF0368B,West Side Federation For Sr and Supportive Housing,420-E-377,99,0,0,0,0,AH,NFP,MARO,"109 West 129th Street
New York, NY 10027
(40.81062521400003, -73.94430086599994)"
Frederic Fleming Residence,443-445 West 22nd Street,New York,New York,10011,(212) 242-5277,(212) 675-8619,AF0249A,West Side Federation For Senior Housing,420-E-374,47,0,0,0,0,AH,NFP,MARO,"443-445 West 22nd Street
New York, NY 10011
(40.74644515500006, -74.00319889899998)"
NY Found-Sr Citizens EHP#5 Clinton Gardens,404-412 W. 54 St.- Clinton Gardens,New York,New York,10019,(212) 489-9339,(212) 489-9332,AF0336A,"New York Foundation for Senior Citizens, Inc.",420-S-376,47,0,0,0,0,EHP,NFP,MARO,"404-412 W. 54 St.- Clinton Gardens
New York, NY 10019
(40.76628281200004, -73.98787915899999)"
Village Care at 46 and Ten,510 West 46th Street,New York,New York,10036,(212) 977-4600,(212) 977-4848,AF0423A,Village Housing Development Fund Corporation,420-S-379,89,89,0,0,0,EHP/ALP,NFP,MARO,"510 West 46th Street
New York, NY 10036
(40.762375629000076, -73.99414238299994)"
"Briarwood Manor, Inc.",1001 Lincoln Avenue,Niagara,Lockport,14094,(716) 433-1513,(716) 433-8142,AF0457A,"Ferreri, Salvatore",500-F-092,160,160,20,0,20,AH/ALP,PPHA,WRO,"1001 Lincoln Avenue
Lockport, NY 14094
(43.153294509000034, -78.66872770599997)"
Brookdale Niagara Assisted Living,6741 Nash Road,Niagara,North Tonawanda,14120,(716) 731-1634,(716) 731-1823,AF0872A,"SH Niagara Operator, Inc.",500-S-002,53,0,53,53,0,EHP,PPHA,WRO,"6741 Nash Road
North Tonawanda, NY 14120
(43.09739429000007, -78.86640145299998)"
Mount View Assisted Living,5465 Upper Mountain Road,Niagara,Lockport,14094,(716) 433-0790,(716) 957-0324,AF0726A,"Mount View Assisted Living, Inc.",500-F-105,150,150,0,0,0,AH/ALP,PPHA,WRO,"5465 Upper Mountain Road
Lockport, NY 14094
(43.17393516100003, -78.73881527899994)"
Elderwood Assisted Living at Wheatfield,2600 Niagara Falls Boulevard,Niagara,Niagara Falls,14304,(716) 731-2200,(716) 731-6590,AF0691B,"2600 Niagara Falls Boulevard AL Operating Company, LLC",500-F-103,65,37,0,0,0,AH/ALP,PPHA,WRO,"2600 Niagara Falls Boulevard
Niagara Falls, NY 14304
(43.092426499000055, -78.90623016299998)"
Heritage Manor of Ransomville Assisted Living Program,3509 Ransomville Road,Niagara,Ransomville,14131,(716) 791-4211,(716) 791-3398,AF0510D,"Heritage Ransomville Management, LLC",500-F-099,142,88,0,0,0,AH/ALP,PPHA,WRO,"3509 Ransomville Road
Ransomville, NY 14131
(43.24445108400005, -78.90945230999995)"
Heritage Manor of Lockport,41 Lexington Court,Niagara,Lockport,14094,(716) 433-7626,(716) 433-7769,AF0587A,"Heritage Management Associates, LLC",500-F-093,64,0,0,0,0,AH,PPHA,WRO,"41 Lexington Court
Lockport, NY 14094
(43.16237149300008, -78.66392346999999)"
Wheatfield Commons,3920 Forest Parkway,Niagara,North Tonawanda,14120,(716) 475-7600,(716) 264-5624,AF0756A,"DePaul Adult Care Communities, Inc.",500-E-014,114,0,114,0,34,AH,NFP,WRO,"3920 Forest Parkway
North Tonawanda, NY 14120
(43.06273369100006, -78.83349118299998)"
Lockport Presbyterian Home,327 High Street,Niagara,Lockport,14094,(716) 434-8805,(716) 434-6059,AF0524A,"Presbyterian Homes of Western NY, Inc.",500-E-008,60,0,0,0,0,AH,NFP,WRO,"327 High Street
Lockport, NY 14094
(43.16445550600008, -78.68485124699998)"
Brookdale Niagara Memory Care,6751 Nash Road,Niagara,North Tonawanda,14120,(716) 731-1461,(716) 731-1521,AF0442A,"Niagara Sterling Cottage Operator, Inc.",500-F-095,40,0,0,0,0,AH,PPHA,WRO,"6751 Nash Road
North Tonawanda, NY 14120
(43.09680547900007, -78.86638146299998)"
Lutheran Home of Central New York,108 Utica Road,Oneida,Clinton,13323,(315) 853-5515,(315) 853-1977,AF0075A,Lutheran Home of Central NY,510-E-007,68,0,0,0,0,AH,NFP,CNYRO,"108 Utica Road
Clinton, NY 13323
(43.05658365100004, -75.36501061199994)"
