,AID CODE,AID CODE NAME,BENEFITS,ELIGIBILITY GROUP,SHORT DESCRIPTION,GROUP CODE,TYPE,FEDERAL CATEGORY,"MEDICAID 
OR CHIP","SOCIAL SECURITY ACT 
CITATION","CODE OF FEDERAL REGULATIONS
CITATION"
217,8T,Children - Ages 6 to 19 - 100% Federal Poverty Level (FPL) - Excess Property,Restricted or Limited (No SOC),Infants and Children under Age 19,Infants and children under age 19 with household income at or below standards established by the state based on age group.,7,Family/Adult,Mandatory  ,MCHIP,"1902(a)(10)(A)(i)(III), (IV), (VI), and (VII); 1902(a)(10)(A)(ii)(IV) and (IX); 1931(b) and (d)",42 CFR 435.118
218,8U,Deemed Infant - Child Health Disability and Prevention (CHDP) - Gateway ,Full Scope (No SOC),Deemed Newborns,"Children born to women covered under Medicaid or a separate CHIP for the date of the child's birth, who are deemed eligible for Medicaid until the child turns age 1.",6,Family/Adult,Mandatory  ,Medicaid,1902(e)(4),42 CFR 435.117
219,8V,Deemed Infant - Child Health Disability and Prevention (CHDP) - Gateway ,Full Scope (SOC),Deemed Newborns,"Children born to women covered under Medicaid or a separate CHIP for the date of the child's birth, who are deemed eligible for Medicaid until the child turns age 1.",6,Family/Adult,Mandatory  ,Medicaid,1902(e)(4),42 CFR 435.117
220,8W,Child Health Disability and Prevention (CHDP) - Gateway Pre Enrollment,Full Scope (No SOC),Infants and Children under Age 19,Infants and children under age 19 with household income at or below standards established by the state based on age group.,7,Family/Adult,Mandatory  ,Medicaid,"1902(a)(10)(A)(i)(III), (IV), (VI), and (VII); 1902(a)(10)(A)(ii)(IV) and (IX); 1931(b) and (d)",42 CFR 435.118
221,8X,Child Health Disability and Prevention (CHDP) - Presumptive Eligibility Targeted Low-Income ,Full Scope (No SOC),Optional Targeted Low Income Children,"Uninsured children who meet the definition of optional targeted low income children at 42 CFR 435.4, who have household income at or below a standard established by the State.",31,Family/Adult,Optional  ,MCHIP,1902(a)(10)(A)(ii)(XIV); 1905(u)(2)(B),42 CFR 435.229 and 435.4
226,9H,Children - 200% Federal Poverty Level (FPL) Healthy Families (HF) (Obsolete),Full Scope (No SOC),Targeted Low Income Children,Uninsured children under age 19 who do not have access to public employee coverage and whose household income is within standards established by the state.,61,Children,SCHIP,SCHIP,2102(b)(1)(B)(v),42 CFR 457.310
236,C1,Aged - Medically Needy (MN),Restricted or Limited (No SOC),"Medically Needy Aged, Blind or Disabled","Individuals who are age 65 or older, blind or disabled, who are not eligible as categorically needy, who meet income and resource standards specified by the State, or who meet the income standard using medical and remedial care expenses to offset excess income.",59,ABD,Medically Needy  ,Medicaid,1902(a)(10)(C),42 CFR 435.320
237,C2,Aged - Medically Needy (MN) ,Restricted or Limited (SOC),"Medically Needy Aged, Blind or Disabled","Individuals who are age 65 or older, blind or disabled, who are not eligible as categorically needy, who meet income and resource standards specified by the State, or who meet the income standard using medical and remedial care expenses to offset excess income.",59,ABD,Medically Needy  ,Medicaid,1902(a)(10)(C),42 CFR 435.320
238,C3,Blind - Medically Needy (MN),Restricted or Limited (No SOC),"Medically Needy Aged, Blind or Disabled","Individuals who are age 65 or older, blind or disabled, who are not eligible as categorically needy, who meet income and resource standards specified by the State, or who meet the income standard using medical and remedial care expenses to offset excess income.",59,ABD,Medically Needy  ,Medicaid,1902(a)(10)(C),42 CFR 435.322
239,C4,Blind - Medically Needy (MN),Restricted or Limited (SOC),"Medically Needy Aged, Blind or Disabled","Individuals who are age 65 or older, blind or disabled, who are not eligible as categorically needy, who meet income and resource standards specified by the State, or who meet the income standard using medical and remedial care expenses to offset excess income.",59,ABD,Medically Needy  ,Medicaid,1902(a)(10)(C),42 CFR 435.322
240,C5,Aid to Families with Dependent Children (AFDC) - Medically Needy (MN),Restricted or Limited (No SOC),Medically Needy Children under Age 18,"Children under 18 who would qualify as categorically needy, except for income.",54,Family/Adult,Medically Needy  ,Medicaid,1902(a)(10)(C)(ii)(II),42 CFR 435.301(b)(1)(ii)
241,C5,Aid to Families with Dependent Children (AFDC) - Medically Needy (MN),Restricted or Limited (No SOC),Medically Needy Children Age 18 through 20,"Children over 18 and under an age established by the State (less than age 21), who would qualify as categorically needy, except for income.",55,Family/Adult,Medically Needy  ,Medicaid,1902(a)(10)(C)(ii)(II),42 CFR 435.308
242,C5,Aid to Families with Dependent Children (AFDC) - Medically Needy (MN),Restricted or Limited (No SOC),Medically Needy Parents and Other Caretakers,"Parents and other caretaker relatives of dependent children, eligible as categorically needy except for income.",56,Family/Adult,Medically Needy  ,Medicaid,0,42 CFR 435.310
243,C6,Aid to Families with Dependent Children (AFDC) - Medically Needy (MN)   ,Restricted or Limited (SOC),Medically Needy Children under Age 18,"Children under 18 who would qualify as categorically needy, except for income.",54,Family/Adult,Medically Needy  ,Medicaid,1902(a)(10)(C)(ii)(II),42 CFR 435.301(b)(1)(ii)
244,C6,Aid to Families with Dependent Children (AFDC) - Medically Needy (MN)   ,Restricted or Limited (SOC),Medically Needy Children Age 18 through 20,"Children over 18 and under an age established by the State (less than age 21), who would qualify as categorically needy, except for income.",55,Family/Adult,Medically Needy  ,Medicaid,1902(a)(10)(C)(ii)(II),42 CFR 435.308
245,C6,Aid to Families with Dependent Children (AFDC) - Medically Needy (MN)   ,Restricted or Limited (SOC),Medically Needy Parents and Other Caretakers,"Parents and other caretaker relatives of dependent children, eligible as categorically needy except for income.",56,Family/Adult,Medically Needy  ,Medicaid,0,42 CFR 435.310
246,C7,Disabled - Medically Needy (MN),Restricted or Limited (No SOC),"Medically Needy Aged, Blind or Disabled","Individuals who are age 65 or older, blind or disabled, who are not eligible as categorically needy, who meet income and resource standards specified by the State, or who meet the income standard using medical and remedial care expenses to offset excess income.",59,ABD,Medically Needy  ,Medicaid,1902(a)(10)(C),42 CFR 435.324
247,C8,Disabled - Medically Needy (MN),Restricted or Limited (SOC),"Medically Needy Aged, Blind or Disabled","Individuals who are age 65 or older, blind or disabled, who are not eligible as categorically needy, who meet income and resource standards specified by the State, or who meet the income standard using medical and remedial care expenses to offset excess income.",59,ABD,Medically Needy  ,Medicaid,1902(a)(10)(C),42 CFR 435.324
248,C9,Child Under Age 21 - Medically Indigent (MI),Restricted or Limited (No SOC),Medically Needy Children under Age 18,"Children under 18 who would qualify as categorically needy, except for income.",54,Family/Adult,Medically Needy  ,Medicaid,1902(a)(10)(C)(ii)(II),42 CFR 435.301(b)(1)(ii)
249,C9,Child Under Age 21 - Medically Indigent (MI),Restricted or Limited (No SOC),Medically Needy Children Age 18 through 20,"Children over 18 and under an age established by the State (less than age 21), who would qualify as categorically needy, except for income.",55,Family/Adult,Medically Needy  ,Medicaid,1902(a)(10)(C)(ii)(II),42 CFR 435.308
250,D1,Child Under Age 21 - Medically Indigent (MI),Restricted or Limited (SOC),Medically Needy Children under Age 18,"Children under 18 who would qualify as categorically needy, except for income.",54,Family/Adult,Medically Needy  ,Medicaid,1902(a)(10)(C)(ii)(II),42 CFR 435.301(b)(1)(ii)
251,D1,Child Under Age 21 - Medically Indigent (MI),Restricted or Limited (SOC),Medically Needy Children Age 18 through 20,"Children over 18 and under an age established by the State (less than age 21), who would qualify as categorically needy, except for income.",55,Family/Adult,Medically Needy  ,Medicaid,1902(a)(10)(C)(ii)(II),42 CFR 435.308
252,D2,Aged - Long Term Care (LTC) ,Restricted or Limited (No SOC),"Medically Needy Aged, Blind or Disabled","Individuals who are age 65 or older, blind or disabled, who are not eligible as categorically needy, who meet income and resource standards specified by the State, or who meet the income standard using medical and remedial care expenses to offset excess income.",59,ABD,Medically Needy  ,Medicaid,1902(a)(10)(C),42 CFR 435.320
253,D3,Aged - Long Term Care (LTC) ,Restricted or Limited (SOC),"Medically Needy Aged, Blind or Disabled","Individuals who are age 65 or older, blind or disabled, who are not eligible as categorically needy, who meet income and resource standards specified by the State, or who meet the income standard using medical and remedial care expenses to offset excess income.",59,ABD,Medically Needy  ,Medicaid,1902(a)(10)(C),42 CFR 435.320
254,D4,Blind - Long Term Care (LTC) ,Restricted or Limited (No SOC),"Medically Needy Aged, Blind or Disabled","Individuals who are age 65 or older, blind or disabled, who are not eligible as categorically needy, who meet income and resource standards specified by the State, or who meet the income standard using medical and remedial care expenses to offset excess income.",59,ABD,Medically Needy  ,Medicaid,1902(a)(10)(C),42 CFR 435.322
255,D5,Blind - Long Term Care (LTC) ,Restricted or Limited (SOC),"Medically Needy Aged, Blind or Disabled","Individuals who are age 65 or older, blind or disabled, who are not eligible as categorically needy, who meet income and resource standards specified by the State, or who meet the income standard using medical and remedial care expenses to offset excess income.",59,ABD,Medically Needy  ,Medicaid,1902(a)(10)(C),42 CFR 435.322
256,D6,Disabled - Long Term Care (LTC) ,Restricted or Limited (No SOC),"Medically Needy Aged, Blind or Disabled","Individuals who are age 65 or older, blind or disabled, who are not eligible as categorically needy, who meet income and resource standards specified by the State, or who meet the income standard using medical and remedial care expenses to offset excess income.",59,ABD,Medically Needy  ,Medicaid,1902(a)(10)(C),42 CFR 435.324
257,D7,Disabled - Long Term Care (LTC) ,Restricted or Limited (SOC),"Medically Needy Aged, Blind or Disabled","Individuals who are age 65 or older, blind or disabled, who are not eligible as categorically needy, who meet income and resource standards specified by the State, or who meet the income standard using medical and remedial care expenses to offset excess income.",59,ABD,Medically Needy  ,Medicaid,1902(a)(10)(C),42 CFR 435.324
258,D8,Pregnant Age Over 21 - Medically Indigent (MI) ,Restricted or Limited (No SOC),Medically Needy Pregnant Women,"Women who are pregnant, who would qualify as categorically needy, except for income.",53,Family/Adult,Medically Needy  ,Medicaid,1902(a)(10)(C)(ii)(II),42 CFR 435.301(b)(1)(i) and (iv)
259,D9,Pregnant Age Over 21 - Medically Indigent (MI) ,Restricted or Limited (SOC),Medically Needy Pregnant Women,"Women who are pregnant, who would qualify as categorically needy, except for income.",53,Family/Adult,Medically Needy  ,Medicaid,1902(a)(10)(C)(ii)(II),42 CFR 435.301(b)(1)(i) and (iv)
260,E6,Infants - Ages 0 to 1 - 213% to 266% Federal Poverty Level (FPL) - Medi-Cal Access Program (MCAP) Optional Targeted Low Income Children's Program (OTLIC) ,Full Scope (No SOC),Optional Targeted Low Income Children,"Uninsured children who meet the definition of optional targeted low income children at 42 CFR 435.4, who have household income at or below a standard established by the State.",31,Family/Adult,Optional  ,MCHIP,1902(a)(10)(A)(ii)(XIV); 1905(u)(2)(B),42 CFR 435.229 and 435.4
261,E7,Infants - Age Under 2 - 266% to 322% Federal Poverty Level (FPL) - Medi-Cal Access Program (MCAP) Targeted Low Income Children's Program (TLIC) ,Full Scope (No SOC),Targeted Low Income Children,Uninsured children under age 19 who do not have access to public employee coverage and whose household income is within standards established by the state.,61,Children,SCHIP,SCHIP,2102(b)(1)(B)(v),42 CFR 457.310
263,F1,Medi-Cal Adult State Inmates Hospital Inpatient Services,Restricted or Limited (No SOC),"Medically Needy Aged, Blind or Disabled","Individuals who are age 65 or older, blind or disabled, who are not eligible as categorically needy, who meet income and resource standards specified by the State, or who meet the income standard using medical and remedial care expenses to offset excess income.",59,ABD,Medically Needy  ,Medicaid,1902(a)(10)(C),"42 CFR 435.320, 322 & 324"
264,F2,Medi-Cal Adult State Inmates Hospital Inpatient Services ,Restricted or Limited (No SOC),"Medically Needy Aged, Blind or Disabled","Individuals who are age 65 or older, blind or disabled, who are not eligible as categorically needy, who meet income and resource standards specified by the State, or who meet the income standard using medical and remedial care expenses to offset excess income.",59,ABD,Medically Needy  ,Medicaid,1902(a)(10)(C),"42 CFR 435.320, 322 & 324"
265,F3,Medi-Cal Adult County Inmates Hospital Inpatient Services,Restricted or Limited (No SOC),"Medically Needy Aged, Blind or Disabled","Individuals who are age 65 or older, blind or disabled, who are not eligible as categorically needy, who meet income and resource standards specified by the State, or who meet the income standard using medical and remedial care expenses to offset excess income.",59,ABD,Medically Needy  ,Medicaid,1902(a)(10)(C),"42 CFR 435.320, 322 & 324"
266,F4,Medi-Cal Adult County Inmates Hospital Inpatient Services,Restricted or Limited (No SOC),"Medically Needy Aged, Blind or Disabled","Individuals who are age 65 or older, blind or disabled, who are not eligible as categorically needy, who meet income and resource standards specified by the State, or who meet the income standard using medical and remedial care expenses to offset excess income.",59,ABD,Medically Needy  ,Medicaid,1902(a)(10)(C),"42 CFR 435.320, 322 & 324"
272,G0,Medi-Cal Adult State Medical Parole Program,Full Scope (No SOC),"Medically Needy Aged, Blind or Disabled","Individuals who are age 65 or older, blind or disabled, who are not eligible as categorically needy, who meet income and resource standards specified by the State, or who meet the income standard using medical and remedial care expenses to offset excess income.",59,ABD,Medically Needy  ,Medicaid,1902(a)(10)(C),"42 CFR 435.320, 322 & 324"
273,G1,Medi-Cal State Juvenile Inmates Hospital Inpatient Services,Restricted or Limited (No SOC),Medically Needy Pregnant Women,"Women who are pregnant, who would qualify as categorically needy, except for income.",53,Family/Adult,Medically Needy  ,Medicaid,1902(a)(10)(C)(ii)(II),42 CFR 435.301(b)(1)(i) and (iv)
274,G1,Medi-Cal State Juvenile Inmates Hospital Inpatient Services,Restricted or Limited (No SOC),Medically Needy Children under Age 18,"Children under 18 who would qualify as categorically needy, except for income.",54,Family/Adult,Medically Needy  ,Medicaid,1902(a)(10)(C)(ii)(II),42 CFR 435.301(b)(1)(ii)
275,G1,Medi-Cal Juvenile State Inmates Hospital Inpatient Services,Restricted or Limited (No SOC),Medically Needy Children Age 18 through 20,"Children over 18 and under an age established by the State (less than age 21), who would qualify as categorically needy, except for income.",55,Family/Adult,Medically Needy  ,Medicaid,1902(a)(10)(C)(ii)(II),42 CFR 435.308
276,G2,Medi-Cal Juvenile State Inmates Hospital Inpatient Services,Restricted or Limited (No SOC),Medically Needy Pregnant Women,"Women who are pregnant, who would qualify as categorically needy, except for income.",53,Family/Adult,Medically Needy  ,Medicaid,1902(a)(10)(C)(ii)(II),42 CFR 435.301(b)(1)(i) and (iv)
277,G2,Medi-Cal Juvenile State Inmates Hospital Inpatient Services,Restricted or Limited (No SOC),Medically Needy Children under Age 18,"Children under 18 who would qualify as categorically needy, except for income.",54,Family/Adult,Medically Needy  ,Medicaid,1902(a)(10)(C)(ii)(II),42 CFR 435.301(b)(1)(ii)
278,G2,Medi-Cal Juvenile State Inmates Hospital Inpatient Services,Restricted or Limited (No SOC),Medically Needy Children Age 18 through 20,"Children over 18 and under an age established by the State (less than age 21), who would qualify as categorically needy, except for income.",55,Family/Adult,Medically Needy  ,Medicaid,1902(a)(10)(C)(ii)(II),42 CFR 435.308
279,G3,Medi-Cal Adult County Inmates Hospital Inpatient Services,Restricted or Limited (SOC),"Medically Needy Aged, Blind or Disabled","Individuals who are age 65 or older, blind or disabled, who are not eligible as categorically needy, who meet income and resource standards specified by the State, or who meet the income standard using medical and remedial care expenses to offset excess income.",59,ABD,Medically Needy  ,Medicaid,1902(a)(10)(C),"42 CFR 435.320, 322 & 324"
280,G4,Medi-Cal Adult County Inmates Hospital Inpatient Services,Restricted or Limited (SOC),"Medically Needy Aged, Blind or Disabled","Individuals who are age 65 or older, blind or disabled, who are not eligible as categorically needy, who meet income and resource standards specified by the State, or who meet the income standard using medical and remedial care expenses to offset excess income.",59,ABD,Medically Needy  ,Medicaid,1902(a)(10)(C),"42 CFR 435.320, 322 & 324"
281,G5,Medi-Cal Juvenile County Inmates Hospital Inpatient Services,Restricted or Limited (No SOC),Medically Needy Pregnant Women,"Women who are pregnant, who would qualify as categorically needy, except for income.",53,Family/Adult,Medically Needy  ,Medicaid,1902(a)(10)(C)(ii)(II),42 CFR 435.301(b)(1)(i) and (iv)
282,G5,Medi-Cal Juvenile County Inmates Hospital Inpatient Services,Restricted or Limited (No SOC),Medically Needy Children under Age 18,"Children under 18 who would qualify as categorically needy, except for income.",54,Family/Adult,Medically Needy  ,Medicaid,1902(a)(10)(C)(ii)(II),42 CFR 435.301(b)(1)(ii)
283,G5,Medi-Cal Juvenile County Inmates Hospital Inpatient Services,Restricted or Limited (No SOC),Medically Needy Children Age 18 through 20,"Children over 18 and under an age established by the State (less than age 21), who would qualify as categorically needy, except for income.",55,Family/Adult,Medically Needy  ,Medicaid,1902(a)(10)(C)(ii)(II),42 CFR 435.308
284,G6,Medi-Cal Juvenile County Inmates Hospital Inpatient Services,Restricted or Limited (No SOC),Medically Needy Pregnant Women,"Women who are pregnant, who would qualify as categorically needy, except for income.",53,Family/Adult,Medically Needy  ,Medicaid,1902(a)(10)(C)(ii)(II),42 CFR 435.301(b)(1)(i) and (iv)
285,G6,Medi-Cal Juvenile County Inmates Hospital Inpatient Services,Restricted or Limited (No SOC),Medically Needy Children under Age 18,"Children under 18 who would qualify as categorically needy, except for income.",54,Family/Adult,Medically Needy  ,Medicaid,1902(a)(10)(C)(ii)(II),42 CFR 435.301(b)(1)(ii)
286,G6,Medi-Cal Juvenile County Inmates Hospital Inpatient Services,Restricted or Limited (No SOC),Medically Needy Children Age 18 through 20,"Children over 18 and under an age established by the State (less than age 21), who would qualify as categorically needy, except for income.",55,Family/Adult,Medically Needy  ,Medicaid,1902(a)(10)(C)(ii)(II),42 CFR 435.308
287,G7,Medi-Cal Juvenile County Inmates Hospital Inpatient Services,Restricted or Limited (SOC),Medically Needy Pregnant Women,"Women who are pregnant, who would qualify as categorically needy, except for income.",53,Family/Adult,Medically Needy  ,Medicaid,1902(a)(10)(C)(ii)(II),42 CFR 435.301(b)(1)(i) and (iv)
288,G7,Medi-Cal Juvenile County Inmates Hospital Inpatient Services,Restricted or Limited (SOC),Medically Needy Children under Age 18,"Children under 18 who would qualify as categorically needy, except for income.",54,Family/Adult,Medically Needy  ,Medicaid,1902(a)(10)(C)(ii)(II),42 CFR 435.301(b)(1)(ii)
289,G7,Medi-Cal Juvenile County Inmates Hospital Inpatient Services,Restricted or Limited (SOC),Medically Needy Children Age 18 through 20,"Children over 18 and under an age established by the State (less than age 21), who would qualify as categorically needy, except for income.",55,Family/Adult,Medically Needy  ,Medicaid,1902(a)(10)(C)(ii)(II),42 CFR 435.308
290,G8,Medi-Cal Juvenile County Inmates Hospital Inpatient Services,Restricted or Limited (SOC),Medically Needy Pregnant Women,"Women who are pregnant, who would qualify as categorically needy, except for income.",53,Family/Adult,Medically Needy  ,Medicaid,1902(a)(10)(C)(ii)(II),42 CFR 435.301(b)(1)(i) and (iv)
291,G8,Medi-Cal Juvenile County Inmates Hospital Inpatient Services,Restricted or Limited (SOC),Medically Needy Children under Age 18,"Children under 18 who would qualify as categorically needy, except for income.",54,Family/Adult,Medically Needy  ,Medicaid,1902(a)(10)(C)(ii)(II),42 CFR 435.301(b)(1)(ii)
292,G8,Medi-Cal Juvenile County Inmates Hospital Inpatient Services,Restricted or Limited (SOC),Medically Needy Children Age 18 through 20,"Children over 18 and under an age established by the State (less than age 21), who would qualify as categorically needy, except for income.",55,Family/Adult,Medically Needy  ,Medicaid,1902(a)(10)(C)(ii)(II),42 CFR 435.308
293,G9,Medi-Cal Adult State Medical Parole Program,Restricted or Limited (No SOC),"Medically Needy Aged, Blind or Disabled","Individuals who are age 65 or older, blind or disabled, who are not eligible as categorically needy, who meet income and resource standards specified by the State, or who meet the income standard using medical and remedial care expenses to offset excess income.",59,ABD,Medically Needy  ,Medicaid,1902(a)(10)(C),"42 CFR 435.320, 322 & 324"
294,H0,Children - Ages 6 to 19 - 133% to 266% Federal Poverty Level (FPL) Hospital Presumptive Eligibility (HPE) ,Full Scope (No SOC),Optional Targeted Low Income Children,"Uninsured children who meet the definition of optional targeted low income children at 42 CFR 435.4, who have household income at or below a standard established by the State.",31,Family/Adult,Optional  ,MCHIP,1902(a)(10)(A)(ii)(XIV); 1905(u)(2)(B),42 CFR 435.229 and 435.4
295,H1,Infants - Ages 0 to 1 - 200% to 250% Federal Poverty Level (FPL)  Optional Targeted Low-Income Children’s Program (OTLIC),Full Scope (No SOC),Optional Targeted Low Income Children,"Uninsured children who meet the definition of optional targeted low income children at 42 CFR 435.4, who have household income at or below a standard established by the State.",31,Family/Adult,Optional  ,MCHIP,1902(a)(10)(A)(ii)(XIV); 1905(u)(2)(B),42 CFR 435.229 and 435.4
296,H2,Children - Ages 1 to 6 - 133%  to 150% Federal Poverty Level (FPL) Optional Targeted Low-Income Children’s Program (OTLIC),Full Scope (No SOC),Optional Targeted Low Income Children,"Uninsured children who meet the definition of optional targeted low income children at 42 CFR 435.4, who have household income at or below a standard established by the State.",31,Family/Adult,Optional  ,MCHIP,1902(a)(10)(A)(ii)(XIV); 1905(u)(2)(B),42 CFR 435.229 and 435.4
297,H3,Children - Ages 1 to 6 - 150% to 250% Federal Poverty Level (FPL) Optional Targeted Low-Income Children’s Program  (OTLIC),Full Scope (No SOC),Optional Targeted Low Income Children,"Uninsured children who meet the definition of optional targeted low income children at 42 CFR 435.4, who have household income at or below a standard established by the State.",31,Family/Adult,Optional  ,MCHIP,1902(a)(10)(A)(ii)(XIV); 1905(u)(2)(B),42 CFR 435.229 and 435.4
298,H4,Children - Ages 6 to 19 - 150% to 250% Federal Poverty Level (FPL) Optional Targeted Low-Income Children’s Program (OTLIC),Full Scope (No SOC),Optional Targeted Low Income Children,"Uninsured children who meet the definition of optional targeted low income children at 42 CFR 435.4, who have household income at or below a standard established by the State.",31,Family/Adult,Optional  ,MCHIP,1902(a)(10)(A)(ii)(XIV); 1905(u)(2)(B),42 CFR 435.229 and 435.4
299,H5,Children - Ages 6 to 19 - 100% to 150% Federal Poverty Level (FPL) Optional Targeted Low-Income Children’s (OTLIC),Full Scope (No SOC),Optional Targeted Low Income Children,"Uninsured children who meet the definition of optional targeted low income children at 42 CFR 435.4, who have household income at or below a standard established by the State.",31,Family/Adult,Optional  ,MCHIP,1902(a)(10)(A)(ii)(XIV); 1905(u)(2)(B),42 CFR 435.229 and 435.4
300,H6,Infants - Ages 0 to 1 - 209% to 266% Federal Poverty Level (FPL)  Hospital Presumptive Eligibility (HPE) ,Full Scope (No SOC),Optional Targeted Low Income Children,"Uninsured children who meet the definition of optional targeted low income children at 42 CFR 435.4, who have household income at or below a standard established by the State.",31,Family/Adult,Optional  ,MCHIP,1902(a)(10)(A)(ii)(XIV); 1905(u)(2)(B),42 CFR 435.229 and 435.4
301,H7,Children - Ages 1 to 6 - 0% to 142% Federal Poverty Level (FPL) Hospital Presumptive Eligibility (HPE) ,Full Scope (No SOC),Infants and Children under Age 19,Infants and children under age 19 with household income at or below standards established by the state based on age group.,7,Family/Adult,Mandatory  ,Medicaid,"1902(a)(10)(A)(i)(III), (IV), (VI), and (VII); 1902(a)(10)(A)(ii)(IV) and (IX); 1931(b) and (d)",42 CFR 435.118
302,H8,Children - Ages 6 to 19 - 0% to 133% Federal Poverty Level (FPL) Hospital Presumptive Eligibility (HPE),Full Scope (No SOC),Infants and Children under Age 19,Infants and children under age 19 with household income at or below standards established by the state based on age group.,7,Family/Adult,Mandatory  ,Medicaid,"1902(a)(10)(A)(i)(III), (IV), (VI), and (VII); 1902(a)(10)(A)(ii)(IV) and (IX); 1931(b) and (d)",42 CFR 435.118
303,H9,Children - Ages 1 to 6 - 143% to 266 Federal Poverty Level (FPL) Hospital Presumptive Eligibility (HPE) ,Full Scope (No SOC),Optional Targeted Low Income Children,"Uninsured children who meet the definition of optional targeted low income children at 42 CFR 435.4, who have household income at or below a standard established by the State.",31,Family/Adult,Optional  ,MCHIP,1902(a)(10)(A)(ii)(XIV); 1905(u)(2)(B),42 CFR 435.229 and 435.4
304,J1,County Compassionate Release,Full Scope (No SOC),"Medically Needy Aged, Blind or Disabled","Individuals who are age 65 or older, blind or disabled, who are not eligible as categorically needy, who meet income and resource standards specified by the State, or who meet the income standard using medical and remedial care expenses to offset excess income.",59,ABD,Medically Needy  ,Medicaid,1902(a)(10)(C),"42 CFR 435.320, 322 & 324"
305,J2,County Compassionate Release,Full Scope (SOC),"Medically Needy Aged, Blind or Disabled","Individuals who are age 65 or older, blind or disabled, who are not eligible as categorically needy, who meet income and resource standards specified by the State, or who meet the income standard using medical and remedial care expenses to offset excess income.",59,ABD,Medically Needy  ,Medicaid,1902(a)(10)(C),"42 CFR 435.320, 322 & 324"
306,J3,County Compassionate Release,Restricted or Limited (No SOC),"Medically Needy Aged, Blind or Disabled","Individuals who are age 65 or older, blind or disabled, who are not eligible as categorically needy, who meet income and resource standards specified by the State, or who meet the income standard using medical and remedial care expenses to offset excess income.",59,ABD,Medically Needy  ,Medicaid,1902(a)(10)(C),"42 CFR 435.320, 322 & 324"
307,J4,County Compassionate Release,Restricted or Limited (SOC),"Medically Needy Aged, Blind or Disabled","Individuals who are age 65 or older, blind or disabled, who are not eligible as categorically needy, who meet income and resource standards specified by the State, or who meet the income standard using medical and remedial care expenses to offset excess income.",59,ABD,Medically Needy  ,Medicaid,1902(a)(10)(C),"42 CFR 435.320, 322 & 324"
308,J5,County Compassionate Release - Long Term Care (LTC) - Aged,Full Scope (No SOC),"Medically Needy Aged, Blind or Disabled","Individuals who are age 65 or older, blind or disabled, who are not eligible as categorically needy, who meet income and resource standards specified by the State, or who meet the income standard using medical and remedial care expenses to offset excess income.",59,ABD,Medically Needy  ,Medicaid,1902(a)(10)(C),42 CFR 435.320
309,J6,County Compassionate Release - Long Term Care (LTC) - Aged,Restricted or Limited (No SOC),"Medically Needy Aged, Blind or Disabled","Individuals who are age 65 or older, blind or disabled, who are not eligible as categorically needy, who meet income and resource standards specified by the State, or who meet the income standard using medical and remedial care expenses to offset excess income.",59,ABD,Medically Needy  ,Medicaid,1902(a)(10)(C),42 CFR 435.320
310,J7,County Compassionate Release - Long Term Care (LTC) - Disabled,Full Scope (No SOC),"Medically Needy Aged, Blind or Disabled","Individuals who are age 65 or older, blind or disabled, who are not eligible as categorically needy, who meet income and resource standards specified by the State, or who meet the income standard using medical and remedial care expenses to offset excess income.",59,ABD,Medically Needy  ,Medicaid,1902(a)(10)(C),43 CFR 435.322 & 324
311,J8,County Compassionate Release - Long Term Care (LTC) - Disabled,Restricted or Limited (No SOC),"Medically Needy Aged, Blind or Disabled","Individuals who are age 65 or older, blind or disabled, who are not eligible as categorically needy, who meet income and resource standards specified by the State, or who meet the income standard using medical and remedial care expenses to offset excess income.",59,ABD,Medically Needy  ,Medicaid,1902(a)(10)(C),43 CFR 435.322 & 324
312,K1,CalWORKS - Single-Parent Safety Net and Drug/Fleeing Felon Family,Full Scope (No SOC),Parents and Other Caretaker Relatives,Parents and other caretaker relatives of dependent children with household income at or below a standard established by the state.,1,Family/Adult,Mandatory  ,Medicaid,1902(a)(10)(A)(i)(I); 1931(b) and (d),42 CFR 435.110
313,K2,Adults - Ages 19 to 64 - Modified Adjusted Gross Income (MAGI) 0% to 138% Federal Poverty Level (FPL) - State Medical Parole,Full Scope (No SOC),Adult Group - Individuals at or below 133% FPL Age 19 through 64 - newly eligible,"Non-pregnant individuals aged 19 through 64, not otherwise mandatorily eligible, with income at or below 133% FPL.",72,Family/Adult,Mandatory  ,Medicaid,1902(a)(10)(A)(i)(VIII),42 CFR 435.119
314,K3,Adults - Ages 19 to 64 - Modified Adjusted Gross Income (MAGI) 0% to 138% Federal Poverty Level (FPL) - State Medical Parole,Restricted or Limited (No SOC),Adult Group - Individuals at or below 133% FPL Age 19 through 64 - newly eligible,"Non-pregnant individuals aged 19 through 64, not otherwise mandatorily eligible, with income at or below 133% FPL.",72,Family/Adult,Mandatory  ,Medicaid,1902(a)(10)(A)(i)(VIII),42 CFR 435.119
315,K4,Adults - Ages 19 to 64 - Modified Adjusted Gross Income (MAGI) 0% to 128% Federal Poverty Level (FPL) - Blind/Disabled - State Medical Parole,Full Scope (No SOC),Adult Group - Individuals at or below 133% FPL Age 19 through 64 - not newly eligible,"Non-pregnant individuals aged 19 through 64, not otherwise mandatorily eligible, with income at or below 133% FPL.",73,Family/Adult,Mandatory  ,Medicaid,1902(a)(10)(A)(i)(VIII); 1905z(3),42 CFR 435.119
