AID CODE,AID CODE NAME,BENEFITS,ELIGIBILITY GROUP,SHORT DESCRIPTION,GROUP CODE,TYPE,FEDERAL CATEGORY,"MEDICAID 
OR CHIP","SOCIAL SECURITY ACT 
CITATION","CODE OF FEDERAL REGULATIONS
CITATION"
7A,Children - Ages 6 to 19 - 0% to 100% Federal Poverty Level (FPL),Full Scope (No SOC),Infants and Children under Age 19,Infants and children under age 19 with household income at or below standards established by the state based on age group.,7,Family/Adult,Mandatory  ,Medicaid,"1902(a)(10)(A)(i)(III), (IV), (VI), and (VII); 1902(a)(10)(A)(ii)(IV) and (IX); 1931(b) and (d)",42 CFR 435.118
7C,Children - Ages 6 to 19 - 0% to 100% Federal Poverty Level (FPL),Restricted or Limited (No SOC),Infants and Children under Age 19,Infants and children under age 19 with household income at or below standards established by the state based on age group.,7,Family/Adult,Mandatory  ,Medicaid,"1902(a)(10)(A)(i)(III), (IV), (VI), and (VII); 1902(a)(10)(A)(ii)(IV) and (IX); 1931(b) and (d)",42 CFR 435.118
7D,Aged - Hospital Presumptive Eligibility (HPE) - 65 Years or Older and Income At or Below 138% FPL,Full Scope (No SOC),Poverty Level Aged or Disabled,"Individuals who are aged or disabled with income equal to or less than a percentage of the FPL, established by the state (no higher than 100%)",46,ABD,Optional  ,Medicaid,"1902(a)(10)(A)(ii)(X), and 1902(m)(1)",N/A
7F,Pregnancy Verification Presumptive Eligibility (PE),Restricted or Limited (No SOC),Pregnant Women,"Women who are pregnant or post-partum, with household income at or below a standard established by the state.",5,Family/Adult,Mandatory  ,Medicaid,"1902(a)(10)(A)(i)(III) and (IV); 1902(a)(10)(A)(ii)(I), (IV), and (IX); 1931(b) and (d)",42 CFR 435.116
7G,Ambulatory Prenatal Care Presumptive Eligibility (PE) ,Restricted or Limited (No SOC),Pregnant Women,"Women who are pregnant or post-partum, with household income at or below a standard established by the state.",5,Family/Adult,Mandatory  ,Medicaid,"1902(a)(10)(A)(i)(III) and (IV); 1902(a)(10)(A)(ii)(I), (IV), and (IX); 1931(b) and (d)",42 CFR 435.116
7H,Tuberculosis Program,Restricted or Limited (No SOC),Individuals with Tuberculosis,"Individuals infected with tuberculosis who income does not exceed established standards, limited to tuberculosis-related services.",36,Family/Adult,Optional  ,Medicaid,1902(a)(10)(A)(ii)(XII); 1902(z),42 CFR 435.215
7J,Children - Up To Age 19 - Continuous Eligibility for Children (CEC) ,Full Scope (No SOC),Infants and Children under Age 19,Infants and children under age 19 with household income at or below standards established by the state based on age group.,7,Family/Adult,Mandatory  ,Medicaid,"1902(a)(10)(A)(i)(III), (IV), (VI), and (VII); 1902(a)(10)(A)(ii)(IV) and (IX); 1931(b) and (d)",42 CFR 435.118
7K,Children - Up To Age 19 - Continuous Eligibility for Children (CEC) ,Restricted or Limited (No SOC),Infants and Children under Age 19,Infants and children under age 19 with household income at or below standards established by the state based on age group.,7,Family/Adult,Mandatory  ,Medicaid,"1902(a)(10)(A)(i)(III), (IV), (VI), and (VII); 1902(a)(10)(A)(ii)(IV) and (IX); 1931(b) and (d)",42 CFR 435.118
7M,Minor Consent Program - Ages 12 to 21,Restricted or Limited (SOC/No SOC),State - Minor Consent Program - Ages 12 to 21,State - Minor Consent Program - Ages 12 to 21,-,N/A,N/A,N/A,N/A,N/A
7N,Minor Consent Program - Pregnant Under Age 21,Restricted or Limited (No SOC),State - Minor Consent Program - Pregnant Under Age 21,State - Minor Consent Program - Pregnant Under Age 21,-,N/A,N/A,N/A,N/A,N/A
7P,Minor Consent Program - Ages 12 to 21 - Including Outpatient Mental Health,Restricted or Limited (SOC/No SOC),State - Minor Consent Program - Ages 12 to 21 - Including Outpatient Mental Health,State - Minor Consent Program - Ages 12 to 21 - Including Outpatient Mental Health,-,N/A,N/A,N/A,N/A,N/A
7R,Minor Consent Program - Age Under 12 - Family Planning/Sexual Assault,Restricted or Limited (SOC/No SOC),State - Minor Consent Program - Age Under 12 - Family Planning/Sexual Assault,State - Minor Consent Program - Age Under 12 - Family Planning/Sexual Assault,-,N/A,N/A,N/A,N/A,N/A
7S,Parent and Caretaker Relative Express Lane Enrollment (ELE) ,Full Scope (No SOC),Parents and Other Caretaker Relatives,Parents and other caretaker relatives of dependent children with household income at or below a standard established by the state.,1,Family/Adult,Mandatory  ,Medicaid,1902(a)(10)(A)(i)(I); 1931(b) and (d),42 CFR 435.110
7T,Express Enrollment - National School Lunch Program,Full Scope (No SOC),Infants and Children under Age 19,Infants and children under age 19 with household income at or below standards established by the state based on age group.,7,Family/Adult,Mandatory  ,Medicaid,"1902(a)(10)(A)(i)(III), (IV), (VI), and (VII); 1902(a)(10)(A)(ii)(IV) and (IX); 1931(b) and (d)",42 CFR 435.118
7U,Adults - Ages 19 to 64 - Express Lane Enrollment (ELE) (Obsolete),Full Scope (No SOC),Adult Group - Individuals at or below 133% FPL Age 19 through 64 - newly eligible,"Non-pregnant individuals aged 19 through 64, not otherwise mandatorily eligible, with income at or below 133% FPL.",72,Family/Adult,Mandatory  ,Medicaid,1902(a)(10)(A)(i)(VIII),42 CFR 435.119
7V,Trafficking and Crime Victims Assistance Program (TCVAP),Full Scope (SOC),State - TCVAP Program,N/A,-,N/A,N/A,N/A,N/A,N/A
7W,Children - Age Under 19 - Express Lane Enrollment (ELE) ,Full Scope (No SOC),Infants and Children under Age 19,Infants and children under age 19 with household income at or below standards established by the state based on age group.,7,Family/Adult,Mandatory  ,Medicaid,"1902(a)(10)(A)(i)(III), (IV), (VI), and (VII); 1902(a)(10)(A)(ii)(IV) and (IX); 1931(b) and (d)",42 CFR 435.118
7X,One Month Medi-Cal to Healthy Families Bridge (Obsolete),Full Scope (No SOC),Optional Targeted Low Income Children,"Uninsured children who meet the definition of optional targeted low income children at 42 CFR 435.4, who have household income at or below a standard established by the State.",31,Family/Adult,Optional  ,MCHIP,1902(a)(10)(A)(ii)(XIV); 1905(u)(2)(B),42 CFR 435.229 and 435.4
8A,Qualified Disabled Working Individual (QDWI),No Medi-Cal Benefits,Qualified Disabled and Working Individuals,"Working, disabled individuals with income equal to or less than 200% of the FPL, who are entitled to Medicare Part A under section 1818A, who qualify for payment of Medicare Part A premiums.",24,ABD,Mandatory  ,Medicaid,1902(a)(10)(E)(ii); 1905(p)(3)(A)(i); 1905(s),N/A
8C,Specified Low-Income Medicare Beneficiary (SLMB),No Medi-Cal Benefits,Specified Low Income Medicare Beneficiaries,"Individuals with income between 100% and 120% of the FPL who are entitled to Medicare Part A, who qualify for payment of Medicare Part B premiums.",25,ABD,Mandatory  ,Medicaid,1902(a)(10)(E)(iii); 1905(p)(3)(A)(ii),N/A
8D,Qualifying Individual (QI),No Medi-Cal Benefits,Qualifying Individuals,"Individuals with income between 120% and 135% of the FPL who are entitled to Medicare Part A, who qualify for payment of Medicare Part B premiums.",26,ABD,Mandatory  ,Medicaid,1902(a)(10)(E)(iv); 1905(p)(3)(A)(ii),N/A
8E,Children - Accelerated Enrollment (AE),Full Scope (No SOC),Infants and Children under Age 19,Infants and children under age 19 with household income at or below standards established by the state based on age group.,7,Family/Adult,Mandatory  ,Medicaid,"1902(a)(10)(A)(i)(III), (IV), (VI), and (VII); 1902(a)(10)(A)(ii)(IV) and (IX); 1931(b) and (d)",42 CFR 435.118
8F,County Medical Services Program (CMSP) - Companion To Aid Code 53,Full Scope (SOC/No SOC),County - County Medical Services Program (CMSP) - Companion To Aid Code 53,County - County Medical Services Program (CMSP) - Companion To Aid Code 53,-,N/A,N/A,N/A,N/A,N/A
8G,Qualified Working Disabled Under 1619(b),Full Scope (No SOC),Working Disabled under 1619(b),"Blind or disabled individuals who participated in Medicaid as SSI cash recipients or who were considered to be receiving SSI, who would still qualify for SSI except for earnings.",21,ABD,Mandatory  ,Medicaid,1619(b); 1902(a)(10)(A)(i)(II)(bb); 1905(q),N/A
8H,"Family Planning Access, Care, and Treatment (FPACT)",Restricted or Limited (No SOC),Individuals Eligible for Family Planning Services,"Individuals who are not pregnant, with income equal to or below the highest standard for pregnant women, as specified by the State, limited to family planning and related services. ",35,Family/Adult,Optional  ,Medicaid,1902(a)(10)(A)(ii)(XXI),42 CFR 435.214
8L,Adults - Ages 19 to 64 - Modified Adjusted Gross Income (MAGI) 0% to 138% Federal Poverty Level (FPL),Full Scope (No SOC),Adult Group - Individuals at or below 133% FPL Age 19 through 64 - newly eligible,"Non-pregnant individuals aged 19 through 64, not otherwise mandatorily eligible, with income at or below 133% FPL.",72,Family/Adult,Mandatory  ,Medicaid,1902(a)(10)(A)(i)(VIII),42 CFR 435.119
8N,Children - Ages 1 to 6 - 0% to 133% Federal Poverty Level (FPL) - Excess Property,Restricted or Limited (No SOC),Infants and Children under Age 19,Infants and children under age 19 with household income at or below standards established by the state based on age group.,7,Family/Adult,Mandatory  ,MCHIP,"1902(a)(10)(A)(i)(III), (IV), (VI), and (VII); 1902(a)(10)(A)(ii)(IV) and (IX); 1931(b) and (d)",42 CFR 435.118
8P,Children - Ages 1 to 6 - 0% to 133% Federal Poverty Level (FPL) - Excess Property,Full Scope (No SOC),Infants and Children under Age 19,Infants and children under age 19 with household income at or below standards established by the state based on age group.,7,Family/Adult,Mandatory  ,MCHIP,"1902(a)(10)(A)(i)(III), (IV), (VI), and (VII); 1902(a)(10)(A)(ii)(IV) and (IX); 1931(b) and (d)",42 CFR 435.118
8R,Children - Ages 6 to 19 - 100% Federal Poverty Level (FPL) - Excess Property,Full Scope (No SOC),Infants and Children under Age 19,Infants and children under age 19 with household income at or below standards established by the state based on age group.,7,Family/Adult,Mandatory  ,MCHIP,"1902(a)(10)(A)(i)(III), (IV), (VI), and (VII); 1902(a)(10)(A)(ii)(IV) and (IX); 1931(b) and (d)",42 CFR 435.118
8T,Children - Ages 6 to 19 - 100% Federal Poverty Level (FPL) - Excess Property,Restricted or Limited (No SOC),Infants and Children under Age 19,Infants and children under age 19 with household income at or below standards established by the state based on age group.,7,Family/Adult,Mandatory  ,MCHIP,"1902(a)(10)(A)(i)(III), (IV), (VI), and (VII); 1902(a)(10)(A)(ii)(IV) and (IX); 1931(b) and (d)",42 CFR 435.118
8U,Deemed Infant - Child Health Disability and Prevention (CHDP) - Gateway ,Full Scope (No SOC),Deemed Newborns,"Children born to women covered under Medicaid or a separate CHIP for the date of the child's birth, who are deemed eligible for Medicaid until the child turns age 1.",6,Family/Adult,Mandatory  ,Medicaid,1902(e)(4),42 CFR 435.117
8V,Deemed Infant - Child Health Disability and Prevention (CHDP) - Gateway ,Full Scope (SOC),Deemed Newborns,"Children born to women covered under Medicaid or a separate CHIP for the date of the child's birth, who are deemed eligible for Medicaid until the child turns age 1.",6,Family/Adult,Mandatory  ,Medicaid,1902(e)(4),42 CFR 435.117
8W,Child Health Disability and Prevention (CHDP) - Gateway Pre Enrollment,Full Scope (No SOC),Infants and Children under Age 19,Infants and children under age 19 with household income at or below standards established by the state based on age group.,7,Family/Adult,Mandatory  ,Medicaid,"1902(a)(10)(A)(i)(III), (IV), (VI), and (VII); 1902(a)(10)(A)(ii)(IV) and (IX); 1931(b) and (d)",42 CFR 435.118
8X,Child Health Disability and Prevention (CHDP) - Presumptive Eligibility Targeted Low-Income ,Full Scope (No SOC),Optional Targeted Low Income Children,"Uninsured children who meet the definition of optional targeted low income children at 42 CFR 435.4, who have household income at or below a standard established by the State.",31,Family/Adult,Optional  ,MCHIP,1902(a)(10)(A)(ii)(XIV); 1905(u)(2)(B),42 CFR 435.229 and 435.4
8Y,Child Health Disability and Prevention (CHDP) - Companion Aid Code,No Medi-Cal Benefits,Not Medi-Cal,N/A,-,N/A,N/A,N/A,N/A,N/A
9A,Every Woman Counts (EWC) Recipient - Non Medi-Cal,No Medi-Cal Benefits,Not Medi-Cal,N/A,-,N/A,N/A,N/A,N/A,N/A
9C,Expanded Access to Primary Care,No Medi-Cal Benefits,Not Medi-Cal,N/A,-,N/A,N/A,N/A,N/A,N/A
9D,California Children's Services (CCS) Only Child Enrolled in a Health Care Plan,No Medi-Cal Benefits,Not Medi-Cal,N/A,-,N/A,N/A,N/A,N/A,N/A
9H,Children - 200% Federal Poverty Level (FPL) Healthy Families (HF) (Obsolete),Full Scope (No SOC),Targeted Low Income Children,Uninsured children under age 19 who do not have access to public employee coverage and whose household income is within standards established by the state.,61,Children,SCHIP,SCHIP,2102(b)(1)(B)(v),42 CFR 457.310
9J,Genetically Handicapped Persons Program (GHPP) Eligible,No Medi-Cal Benefits,Not Medi-Cal,N/A,-,N/A,N/A,N/A,N/A,N/A
9K,California Children's Services (CCS),No Medi-Cal Benefits,Not Medi-Cal,N/A,-,N/A,N/A,N/A,N/A,N/A
9M,California Children's Services (CCS) Medical Therapy Program ,No Medi-Cal Benefits,Not Medi-Cal,N/A,-,N/A,N/A,N/A,N/A,N/A
9N,California Children's Services (CCS) Case Management,No Medi-Cal Benefits,Not Medi-Cal,N/A,-,N/A,N/A,N/A,N/A,N/A
9R,California Children's Services (CCS) Healthy Families (Obsolete),No Medi-Cal Benefits,Not Medi-Cal,N/A,-,N/A,N/A,N/A,N/A,N/A
9V,California Children's Services (CCS) Partners for Children/Pediatric Palliative Care Waiver (PFC/PPCW),No Medi-Cal Benefits,Not Medi-Cal,N/A,-,N/A,N/A,N/A,N/A,N/A
9W,HAP Pediatric Palliative Care Waiver (PPCW) Participant eligible for CCS,No Medi-Cal Benefits,Not Medi-Cal,N/A,-,N/A,N/A,N/A,N/A,N/A
9X,Foster Care Ineligible,No Medi-Cal Benefits,Not Medi-Cal,N/A,-,N/A,N/A,N/A,N/A,N/A
A1,Children Age 0 to 17 Non-Medi-Cal Hearing Aid Coverge - Federal Poverty Level (FPL) at or below 600%,No Medi-Cal Benefits,State - Hearing Aid Coverage for Children Program,State - Hearing Aid Coverage for Children Program,-,N/A,N/A,N/A,N/A,N/A
C1,Aged - Medically Needy (MN),Restricted or Limited (No SOC),"Medically Needy Aged, Blind or Disabled","Individuals who are age 65 or older, blind or disabled, who are not eligible as categorically needy, who meet income and resource standards specified by the State, or who meet the income standard using medical and remedial care expenses to offset excess income.",59,ABD,Medically Needy  ,Medicaid,1902(a)(10)(C),42 CFR 435.320
C2,Aged - Medically Needy (MN) ,Restricted or Limited (SOC),"Medically Needy Aged, Blind or Disabled","Individuals who are age 65 or older, blind or disabled, who are not eligible as categorically needy, who meet income and resource standards specified by the State, or who meet the income standard using medical and remedial care expenses to offset excess income.",59,ABD,Medically Needy  ,Medicaid,1902(a)(10)(C),42 CFR 435.320
C3,Blind - Medically Needy (MN),Restricted or Limited (No SOC),"Medically Needy Aged, Blind or Disabled","Individuals who are age 65 or older, blind or disabled, who are not eligible as categorically needy, who meet income and resource standards specified by the State, or who meet the income standard using medical and remedial care expenses to offset excess income.",59,ABD,Medically Needy  ,Medicaid,1902(a)(10)(C),42 CFR 435.322
C4,Blind - Medically Needy (MN),Restricted or Limited (SOC),"Medically Needy Aged, Blind or Disabled","Individuals who are age 65 or older, blind or disabled, who are not eligible as categorically needy, who meet income and resource standards specified by the State, or who meet the income standard using medical and remedial care expenses to offset excess income.",59,ABD,Medically Needy  ,Medicaid,1902(a)(10)(C),42 CFR 435.322
C5,Aid to Families with Dependent Children (AFDC) - Medically Needy (MN),Restricted or Limited (No SOC),Medically Needy Children under Age 18,"Children under 18 who would qualify as categorically needy, except for income.",54,Family/Adult,Medically Needy  ,Medicaid,1902(a)(10)(C)(ii)(II),42 CFR 435.301(b)(1)(ii)
C5,Aid to Families with Dependent Children (AFDC) - Medically Needy (MN),Restricted or Limited (No SOC),Medically Needy Children Age 18 through 20,"Children over 18 and under an age established by the State (less than age 21), who would qualify as categorically needy, except for income.",55,Family/Adult,Medically Needy  ,Medicaid,1902(a)(10)(C)(ii)(II),42 CFR 435.308
C5,Aid to Families with Dependent Children (AFDC) - Medically Needy (MN),Restricted or Limited (No SOC),Medically Needy Parents and Other Caretakers,"Parents and other caretaker relatives of dependent children, eligible as categorically needy except for income.",56,Family/Adult,Medically Needy  ,Medicaid,N/A,42 CFR 435.310
C6,Aid to Families with Dependent Children (AFDC) - Medically Needy (MN)   ,Restricted or Limited (SOC),Medically Needy Children under Age 18,"Children under 18 who would qualify as categorically needy, except for income.",54,Family/Adult,Medically Needy  ,Medicaid,1902(a)(10)(C)(ii)(II),42 CFR 435.301(b)(1)(ii)
C6,Aid to Families with Dependent Children (AFDC) - Medically Needy (MN)   ,Restricted or Limited (SOC),Medically Needy Children Age 18 through 20,"Children over 18 and under an age established by the State (less than age 21), who would qualify as categorically needy, except for income.",55,Family/Adult,Medically Needy  ,Medicaid,1902(a)(10)(C)(ii)(II),42 CFR 435.308
C6,Aid to Families with Dependent Children (AFDC) - Medically Needy (MN)   ,Restricted or Limited (SOC),Medically Needy Parents and Other Caretakers,"Parents and other caretaker relatives of dependent children, eligible as categorically needy except for income.",56,Family/Adult,Medically Needy  ,Medicaid,N/A,42 CFR 435.310
C7,Disabled - Medically Needy (MN),Restricted or Limited (No SOC),"Medically Needy Aged, Blind or Disabled","Individuals who are age 65 or older, blind or disabled, who are not eligible as categorically needy, who meet income and resource standards specified by the State, or who meet the income standard using medical and remedial care expenses to offset excess income.",59,ABD,Medically Needy  ,Medicaid,1902(a)(10)(C),42 CFR 435.324
C8,Disabled - Medically Needy (MN),Restricted or Limited (SOC),"Medically Needy Aged, Blind or Disabled","Individuals who are age 65 or older, blind or disabled, who are not eligible as categorically needy, who meet income and resource standards specified by the State, or who meet the income standard using medical and remedial care expenses to offset excess income.",59,ABD,Medically Needy  ,Medicaid,1902(a)(10)(C),42 CFR 435.324
C9,Child Under Age 21 - Medically Indigent (MI),Restricted or Limited (No SOC),Medically Needy Children under Age 18,"Children under 18 who would qualify as categorically needy, except for income.",54,Family/Adult,Medically Needy  ,Medicaid,1902(a)(10)(C)(ii)(II),42 CFR 435.301(b)(1)(ii)
C9,Child Under Age 21 - Medically Indigent (MI),Restricted or Limited (No SOC),Medically Needy Children Age 18 through 20,"Children over 18 and under an age established by the State (less than age 21), who would qualify as categorically needy, except for income.",55,Family/Adult,Medically Needy  ,Medicaid,1902(a)(10)(C)(ii)(II),42 CFR 435.308
D1,Child Under Age 21 - Medically Indigent (MI),Restricted or Limited (SOC),Medically Needy Children under Age 18,"Children under 18 who would qualify as categorically needy, except for income.",54,Family/Adult,Medically Needy  ,Medicaid,1902(a)(10)(C)(ii)(II),42 CFR 435.301(b)(1)(ii)
D1,Child Under Age 21 - Medically Indigent (MI),Restricted or Limited (SOC),Medically Needy Children Age 18 through 20,"Children over 18 and under an age established by the State (less than age 21), who would qualify as categorically needy, except for income.",55,Family/Adult,Medically Needy  ,Medicaid,1902(a)(10)(C)(ii)(II),42 CFR 435.308
D2,Aged - Long Term Care (LTC) ,Restricted or Limited (No SOC),"Medically Needy Aged, Blind or Disabled","Individuals who are age 65 or older, blind or disabled, who are not eligible as categorically needy, who meet income and resource standards specified by the State, or who meet the income standard using medical and remedial care expenses to offset excess income.",59,ABD,Medically Needy  ,Medicaid,1902(a)(10)(C),42 CFR 435.320
D3,Aged - Long Term Care (LTC) ,Restricted or Limited (SOC),"Medically Needy Aged, Blind or Disabled","Individuals who are age 65 or older, blind or disabled, who are not eligible as categorically needy, who meet income and resource standards specified by the State, or who meet the income standard using medical and remedial care expenses to offset excess income.",59,ABD,Medically Needy  ,Medicaid,1902(a)(10)(C),42 CFR 435.320
D4,Blind - Long Term Care (LTC) ,Restricted or Limited (No SOC),"Medically Needy Aged, Blind or Disabled","Individuals who are age 65 or older, blind or disabled, who are not eligible as categorically needy, who meet income and resource standards specified by the State, or who meet the income standard using medical and remedial care expenses to offset excess income.",59,ABD,Medically Needy  ,Medicaid,1902(a)(10)(C),42 CFR 435.322
D5,Blind - Long Term Care (LTC) ,Restricted or Limited (SOC),"Medically Needy Aged, Blind or Disabled","Individuals who are age 65 or older, blind or disabled, who are not eligible as categorically needy, who meet income and resource standards specified by the State, or who meet the income standard using medical and remedial care expenses to offset excess income.",59,ABD,Medically Needy  ,Medicaid,1902(a)(10)(C),42 CFR 435.322
D6,Disabled - Long Term Care (LTC) ,Restricted or Limited (No SOC),"Medically Needy Aged, Blind or Disabled","Individuals who are age 65 or older, blind or disabled, who are not eligible as categorically needy, who meet income and resource standards specified by the State, or who meet the income standard using medical and remedial care expenses to offset excess income.",59,ABD,Medically Needy  ,Medicaid,1902(a)(10)(C),42 CFR 435.324
D7,Disabled - Long Term Care (LTC) ,Restricted or Limited (SOC),"Medically Needy Aged, Blind or Disabled","Individuals who are age 65 or older, blind or disabled, who are not eligible as categorically needy, who meet income and resource standards specified by the State, or who meet the income standard using medical and remedial care expenses to offset excess income.",59,ABD,Medically Needy  ,Medicaid,1902(a)(10)(C),42 CFR 435.324
D8,Pregnant Age Over 21 - Medically Indigent (MI) ,Restricted or Limited (No SOC),Medically Needy Pregnant Women,"Women who are pregnant, who would qualify as categorically needy, except for income.",53,Family/Adult,Medically Needy  ,Medicaid,1902(a)(10)(C)(ii)(II),42 CFR 435.301(b)(1)(i) and (iv)
D9,Pregnant Age Over 21 - Medically Indigent (MI) ,Restricted or Limited (SOC),Medically Needy Pregnant Women,"Women who are pregnant, who would qualify as categorically needy, except for income.",53,Family/Adult,Medically Needy  ,Medicaid,1902(a)(10)(C)(ii)(II),42 CFR 435.301(b)(1)(i) and (iv)
E6,Infants - Ages 0 to 1 - 213% to 266% Federal Poverty Level (FPL) - Medi-Cal Access Program (MCAP) Optional Targeted Low Income Children's Program (OTLIC) ,Full Scope (No SOC),Optional Targeted Low Income Children,"Uninsured children who meet the definition of optional targeted low income children at 42 CFR 435.4, who have household income at or below a standard established by the State.",31,Family/Adult,Optional  ,MCHIP,1902(a)(10)(A)(ii)(XIV); 1905(u)(2)(B),42 CFR 435.229 and 435.4
E7,Infants - Age Under 2 - 266% to 322% Federal Poverty Level (FPL) - Medi-Cal Access Program (MCAP) Targeted Low Income Children's Program (TLIC) ,Full Scope (No SOC),Targeted Low Income Children,Uninsured children under age 19 who do not have access to public employee coverage and whose household income is within standards established by the state.,61,Children,SCHIP,SCHIP,2102(b)(1)(B)(v),42 CFR 457.310
F0,County Health Care Coverage Initiative (HCCI) New,No Medi-Cal Benefits,Not Medi-Cal,N/A,-,N/A,N/A,N/A,N/A,N/A
F1,Medi-Cal Adult State Inmates Hospital Inpatient Services,Restricted or Limited (No SOC),"Medically Needy Aged, Blind or Disabled","Individuals who are age 65 or older, blind or disabled, who are not eligible as categorically needy, who meet income and resource standards specified by the State, or who meet the income standard using medical and remedial care expenses to offset excess income.",59,ABD,Medically Needy  ,Medicaid,1902(a)(10)(C),"42 CFR 435.320, 322 & 324"
F2,Medi-Cal Adult State Inmates Hospital Inpatient Services ,Restricted or Limited (No SOC),"Medically Needy Aged, Blind or Disabled","Individuals who are age 65 or older, blind or disabled, who are not eligible as categorically needy, who meet income and resource standards specified by the State, or who meet the income standard using medical and remedial care expenses to offset excess income.",59,ABD,Medically Needy  ,Medicaid,1902(a)(10)(C),"42 CFR 435.320, 322 & 324"
F3,Medi-Cal Adult County Inmates Hospital Inpatient Services,Restricted or Limited (No SOC),"Medically Needy Aged, Blind or Disabled","Individuals who are age 65 or older, blind or disabled, who are not eligible as categorically needy, who meet income and resource standards specified by the State, or who meet the income standard using medical and remedial care expenses to offset excess income.",59,ABD,Medically Needy  ,Medicaid,1902(a)(10)(C),"42 CFR 435.320, 322 & 324"
F4,Medi-Cal Adult County Inmates Hospital Inpatient Services,Restricted or Limited (No SOC),"Medically Needy Aged, Blind or Disabled","Individuals who are age 65 or older, blind or disabled, who are not eligible as categorically needy, who meet income and resource standards specified by the State, or who meet the income standard using medical and remedial care expenses to offset excess income.",59,ABD,Medically Needy  ,Medicaid,1902(a)(10)(C),"42 CFR 435.320, 322 & 324"
F5,Medicaid Coverage Expansion (MCE) State Inmates/Inpatient Hospital Only (Deactivated),No Medi-Cal Benefits,N/A,N/A,-,N/A,N/A,N/A,N/A,N/A
F6,Medicaid Coverage Expansion (MCE) County Inmates/Inpatient Hospital Only (Deactivated),No Medi-Cal Benefits,N/A,N/A,-,N/A,N/A,N/A,N/A,N/A
F7,County Medicaid Coverage Expansion (MCE) Existing (Deactivated),No Medi-Cal Benefits,N/A,N/A,-,N/A,N/A,N/A,N/A,N/A
F8,County Medicaid Coverage Expansion (MCE) New (Deactivated),No Medi-Cal Benefits,N/A,N/A,-,N/A,N/A,N/A,N/A,N/A
F9,County Health Care Coverage Initiative (HCCI) Existing,No Medi-Cal Benefits,Not Medi-Cal,N/A,-,N/A,N/A,N/A,N/A,N/A
G0,Medi-Cal Adult State Medical Parole Program,Full Scope (No SOC),"Medically Needy Aged, Blind or Disabled","Individuals who are age 65 or older, blind or disabled, who are not eligible as categorically needy, who meet income and resource standards specified by the State, or who meet the income standard using medical and remedial care expenses to offset excess income.",59,ABD,Medically Needy  ,Medicaid,1902(a)(10)(C),"42 CFR 435.320, 322 & 324"
G1,Medi-Cal State Juvenile Inmates Hospital Inpatient Services,Restricted or Limited (No SOC),Medically Needy Pregnant Women,"Women who are pregnant, who would qualify as categorically needy, except for income.",53,Family/Adult,Medically Needy  ,Medicaid,1902(a)(10)(C)(ii)(II),42 CFR 435.301(b)(1)(i) and (iv)
G1,Medi-Cal State Juvenile Inmates Hospital Inpatient Services,Restricted or Limited (No SOC),Medically Needy Children under Age 18,"Children under 18 who would qualify as categorically needy, except for income.",54,Family/Adult,Medically Needy  ,Medicaid,1902(a)(10)(C)(ii)(II),42 CFR 435.301(b)(1)(ii)
G1,Medi-Cal Juvenile State Inmates Hospital Inpatient Services,Restricted or Limited (No SOC),Medically Needy Children Age 18 through 20,"Children over 18 and under an age established by the State (less than age 21), who would qualify as categorically needy, except for income.",55,Family/Adult,Medically Needy  ,Medicaid,1902(a)(10)(C)(ii)(II),42 CFR 435.308
G2,Medi-Cal Juvenile State Inmates Hospital Inpatient Services,Restricted or Limited (No SOC),Medically Needy Pregnant Women,"Women who are pregnant, who would qualify as categorically needy, except for income.",53,Family/Adult,Medically Needy  ,Medicaid,1902(a)(10)(C)(ii)(II),42 CFR 435.301(b)(1)(i) and (iv)
G2,Medi-Cal Juvenile State Inmates Hospital Inpatient Services,Restricted or Limited (No SOC),Medically Needy Children under Age 18,"Children under 18 who would qualify as categorically needy, except for income.",54,Family/Adult,Medically Needy  ,Medicaid,1902(a)(10)(C)(ii)(II),42 CFR 435.301(b)(1)(ii)
G2,Medi-Cal Juvenile State Inmates Hospital Inpatient Services,Restricted or Limited (No SOC),Medically Needy Children Age 18 through 20,"Children over 18 and under an age established by the State (less than age 21), who would qualify as categorically needy, except for income.",55,Family/Adult,Medically Needy  ,Medicaid,1902(a)(10)(C)(ii)(II),42 CFR 435.308
G3,Medi-Cal Adult County Inmates Hospital Inpatient Services,Restricted or Limited (SOC),"Medically Needy Aged, Blind or Disabled","Individuals who are age 65 or older, blind or disabled, who are not eligible as categorically needy, who meet income and resource standards specified by the State, or who meet the income standard using medical and remedial care expenses to offset excess income.",59,ABD,Medically Needy  ,Medicaid,1902(a)(10)(C),"42 CFR 435.320, 322 & 324"
G4,Medi-Cal Adult County Inmates Hospital Inpatient Services,Restricted or Limited (SOC),"Medically Needy Aged, Blind or Disabled","Individuals who are age 65 or older, blind or disabled, who are not eligible as categorically needy, who meet income and resource standards specified by the State, or who meet the income standard using medical and remedial care expenses to offset excess income.",59,ABD,Medically Needy  ,Medicaid,1902(a)(10)(C),"42 CFR 435.320, 322 & 324"
G5,Medi-Cal Juvenile County Inmates Hospital Inpatient Services,Restricted or Limited (No SOC),Medically Needy Pregnant Women,"Women who are pregnant, who would qualify as categorically needy, except for income.",53,Family/Adult,Medically Needy  ,Medicaid,1902(a)(10)(C)(ii)(II),42 CFR 435.301(b)(1)(i) and (iv)
